date,category,press,title,document,link
2023-09-24 23:37:00,"오피니언, 생활, IT",동아일보,50대에도 ‘꽁지머리’ 김병지 “절식-운동으로 건강 유지”[이헌재의 인생홈런],"트레이드마크인 ‘꽁지머리’를 30년 넘게 유지하고 있는 김병지 강원FC 대표는 꾸준한 자기 관리로 건강과 활력을 유지하고 있다. 구리=이헌재 기자 uni@donga.com한국 프로축구 K리그 통산 최다 경기 출전 기록(706경기) 보유자인 김병지 강원FC 대표(53)는 30년 넘게 노란색 ‘꽁지머리’를 유지하고 있다. 요즘도 3주에 한 번씩 미장원에 가서 머리를 다듬고 염색을 새로 한다. 이 헤어스타일 때문에 많은 사람들이 그에 대해 ‘놀기 좋아할 것 같다’는 선입견을 갖고 있다. 이헌재 스포츠전문기자그렇지만 김 대표는 누구보다 자기관리에 철저하다. 그는 선수 시절부터 지금까지 술과 담배를 전혀 입에 대지 않고 있다. 선수 땐 경기력 유지를 위해 오후 8시 이후 개인 약속도 잡지 않았다. 프로 선수 생활을 했던 24년간 그는 몸무게를 78kg으로 한결같이 유지했다. 그는 “45세까지 선수 생활을 할 수 있었던 이유는 그 나이에도 골키퍼로서 경쟁력이 있었기 때문”이라며 “나이를 먹을수록 빈틈을 보이지 않기 위해 더 나 자신을 채찍질했다”고 했다. 다른 선수들이 저녁 자리에 갈 때 그는 숙소에서 책을 읽었다. 요즘도 그는 책을 많이 읽는다. 출장을 갈 때도 책을 항상 갖고 다닌다. 경제 서적, 축구 대가들의 자서전, 인문학 서적, 시집 등 장르를 가리지 않는다. 그는 “최근 일본 교세라 창립자인 이나모리 가즈오란 분이 쓴 ‘왜 일하는가’라는 책을 읽었다. 손흥민의 아버지인 손웅정 감독님의 ‘모든 것은 기본에서 시작한다’라는 책도 봤다”며 “어떤 일이든 어떤 마음가짐으로 하느냐에 따라 결과가 달라진다는 것을 잘 보여주고 있다”고 말했다. 은퇴 후 축구 해설위원과 대한축구협회 부회장 등을 거친 그는 강원 대표로 일하면서 한 방송사의 축구 예능 프로그램에도 출연 중이다. ‘꽁병지TV’라는 유튜브 활동도 이어가고, 자신의 이름을 딴 ‘김병지 축구교실’도 운영한다. 바쁜 와중에도 그는 건강관리에 꾸준히 신경을 쓴다. 축구 프로그램에 출연하는 아내 김수연 씨와 함께 러닝을 하고, 빠른 걸음으로 걷기도 한다. 아마추어 축구팀 ‘꽁병지’에서는 일주일에 한두 차례 공을 찬다. 체중 조절에도 신경을 많이 쓴다. 그는 보통 아침 겸 점심과 이른 저녁으로 하루 두 끼를 먹는다. 하지만 사회생활을 하다가 어쩔 수 없이 과식을 할 때에는 15시간 이상 간헐적 단식을 한다. 그는 “배고픔을 최대한 즐기려 한다. 배가 고파도 곧바로 배를 채우지 않고 최대한 기다린 뒤에 조금씩 먹으려 노력한다”고 말했다. 그는 경기 구리시에 있는 한 베이커리 카페의 바깥주인이기도 하다. 아내 김 씨가 운영하는 이 카페는 그의 헤어스타일을 닮은 알파카 다섯 마리가 있어 ‘알파카 카페’로도 유명하다. 그는 “쉬는 날에는 이곳에 와서 커피를 마시면서 평소 읽고 싶었던 책을 읽고, 알파카와 놀기도 한다. 내게는 최고의 힐링”이라고 말했다. 그의 마지막 꿈은 구단주가 되는 것이다. 그는 “당연히 힘든 일이다. 하지만 대학도 못 간 내가 직장인 팀을 거쳐 프로 선수가 돼 오랫동안 뛰지 않았나. 목표와 꿈이 있었기에 이뤄진 것”이라며 “축구가 내게 준 은혜가 너무 많아 감사한 마음으로 살고 있다. 최종적으로는 구단주가 돼 축구로 팬들에게 보답하고 싶은 마음”이라고 말했다.",https://n.news.naver.com/mnews/article/020/0003522407?sid=105
2023-09-24 22:25:00,IT,세계일보,"이종호 장관, 뉴욕대 총장 등 만나… AI 인재양성·공동연구 등 논의","과학기술정보통신부는 이종호 장관이 20∼22일(현지시간) 미국 주요 과학기술계 인사들과 만나 전략기술 국제공동연구와 인재 양성 방안을 논의했다고 24일 밝혔다.     이종호 과학기술정보통신부 장관(왼쪽)이 21일(현지시간) 미 국립과학재단(NSF) 세투라만 판차나탄 총재와 면담 후 기념촬영을 하고 있다. 과학기술정보통신부 제공    이 장관은 뉴욕대 린다 밀스 총장을 만나 인공지능(AI) 국제공동연구 추진과 AI·디지털 분야 글로벌 인재 양성을 위한 협력에 뉴욕대가 가교로서 핵심적인 역할을 해달라고 당부했다.  미 국립과학재단(NSF) 세투라만 판차나탄 총재와는 반도체, 바이오 경제 분야 국제공동연구의 조속한 착수와 연구 협력 범위 확대를 논의했다.",https://n.news.naver.com/mnews/article/022/0003858722?sid=105
2023-09-24 22:14:00,IT,머니투데이,"""실패 용인 연구환경 중요""…노벨상 3人-과기차관, R&D;혁신안 논의","""아시아, 권위주의적 연구문화…비판적 사고할 줄 알아야""조성경 과학기술정보통신부 제1차관이 24일 오전 서울 강남구 코엑스인터컨티넨탈호텔에서 노벨상 수상자들과 과학기술 혁신방안을 논의하고 있다. 왼쪽부터 마이클 레빗 미국 스탠퍼드대 교수, 조성경 과학기술정보통신부 제1차관, 요하임 프랭크 미국 컬럼비아대 교수, 하르트무트 미헬 독일 막스플랑크연구소장. /사진제공=과학기술정보통신부""권위주의적 연구환경에서 벗어나 젊은 연구자나 연구그룹이 자유롭게 연구해야 합니다. 정부는 이를 위해 실패를 용인할 수 있는 연구환경을 만들어 주는 것이 중요합니다.""마이클 레빗(Michael Levitt) 미국 스탠퍼드대 교수는 24일 조성경 과학기술정보통신부 1차관 주재로 열린 노벨상 수상자들과의 R&D(연구·개발) 혁신방안 간담회에서 한국 과학계를 위한 조언을 이같이 말했다. 레빗 교수는 2013년 노벨화학상을 수상한 글로벌 석학이다.조 차관은 이날 노벨과학상 수상자 3명과 세계 최고 수준 선도형 R&D로 나아가기 위해 △국제협력 공동연구 촉진방안 △도전·혁신적 R&D 체계 정착 방안 △미래세대 육성 방안 등을 논의했다. 레빗 교수를 비롯해 요하임 프랭크(Joachim Frank) 미국 컬럼비아대 교수(2017년 노벨화학상)와 하르트무트 미헬(Hartmut Michel) 독일 막스플랑크연구소장(1988년 노벨화학상)은 기존의 틀을 깨는 연구, 도전적 연구를 위해선 실패를 용인할 연구환경 조성이 중요하다고 입을 모았다.프랭크 교수는 ""한국은 1980년대부터 과학기술 투자가 시작됐으며 지금은 인큐베이션(보육) 기간으로 혁신적 사고, 기존의 틀을 깨는 연구에 관심을 가져야 한다""고 말했다.미헬 소장은 ""그간 노벨상 수상자들의 업적을 살펴보면 과학기술적 중대문제 해결, 자유롭게 연구하는 과정에서의 우연한 발견, 인류가 당면한 글로벌 이슈 해결 등 3개 분야로 구분된다""며 ""한국 정부가 이를 참고해 연구지원을 하면 좋을 것""이라고 제언했다.━""아시아, 권위주의적 연구문화…비판적 사고할 줄 알아야""━노벨과학상 수상자들은 이날 조 차관과 간담회에서 권위주의적 연구문화를 타파하고, 기존 연구결과를 뛰어넘을 비판적 사고 필요성을 강조했다. 과학자들이 갖춰야 할 덕목으로 연구에 대한 호기심과 배움을 즐기는 자세를 조언했다.프랭크 교수는 ""아시아는 권위주의적 연구문화로 멘토·권위자·기성연구에 대한 반대의견을 내지 않는 분위기""라면서 ""기존 연구에 대한 비판적 사고를 할 줄 알아야 하며 기존 연구방법을 다른 분야에 적용할 수 있는 응용력도 갖고 있어야 한다""고 했다.미헬 소장은 ""과학자는 AI(인공지능)나 구글 등을 통해 문제를 해결하지 말아야 한다""며 ""스스로 생각하고 직접 실험하면서 꼼꼼히 문제를 확인하고 해결하는 자세를 가져야 한다""고 말했다.이들은 창의·도전적 연구생태계 조성을 위한 정부의 역할도 강조했다. 레빗 교수는 ""젊은연구자들이 실패에 대한 걱정 없이 마음껏 연구할 수 있도록 정부가 지원해야 한다""며 ""막스플랑크연구소, 미국 벨연구소처럼 자율적·독립적 연구환경 조성이 중요하다""고 강조했다.프랭크 교수는 정부가 연구자들을 위한 윤리교육 체계를 조성해야 한다고 밝히기도 했다. 그는 ""연구자가 본격적으로 연구를 시작하기 전 윤리적 가치를 내재화하는 교육시스템 구축이 필요하다""고 했다.조 차관은 이날 ""과학기술의 영향력은 점점 더 막강해지고 일상생활부터 글로벌 경제, 사회 구조에 이르기까지 광범위하게 영향을 미치고 있다""며 ""노벨상 수상자들의 연구와 발견은 세상을 더 나은 곳으로 만들도록 영감을 주며 새로운 관점을 제공한다""고 말했다.이어 ""노벨상 수상자들의 고견을 참고해 정책을 입안하겠다""며 ""앞으로 우리나라의 과학기술 R&D 혁신 생태계가 글로벌 수준으로 발전할 수 있도록 제도를 개선하고 연구자들을 지원하겠다""고 했다.조성경 과학기술정보통신부 제1차관이 24일 오전 서울 강남구 코엑스인터컨티넨탈호텔에서 노벨상 수상자들과 과학기술 혁신방안을 논의했다. 왼쪽부터 요하임 프랭크 미국 컬럼비아대 교수, 하르트무트 미헬 독일 막스플랑크연구소장, 마이클 레빗 미국 스탠퍼드대 교수, 조성경 차관. /사진제공=과학기술정보통신부",https://n.news.naver.com/mnews/article/008/0004942249?sid=105
2023-09-24 22:10:00,IT,KBS,"아날로그 상징 ‘우표’, 디지털을 만나다","[앵커] 우표 라는 단어만 들어도, 벌써 손편지의 여러 추억이 떠오르시죠? 이렇게 아날로그 감성을 대표하는 우표가 인공지능, AI 기술과 만났습니다.어떤 모습일까요? 전현우 기자가 소개합니다. [리포트] 우표 속 유관순 열사가 굳센 표정으로 말을 건넵니다.[""일본군의 총구 앞에서 맨몸으로 대한 독립 만세를 외쳤던 순국자 유관순입니다.""] 한국 근대 우편의 선구자 홍영식의 입을 통해  국내 첫 우표 탄생기를 전해 듣습니다.[""1884년에는 우정총국이 설치되고, 같은 해에 우리나라 최초의 우표인 문위우표를 발행하여…""] 코로나19 이후 4년 만에 열린  대규모 우표 전시회엔,  인공지능 기술을 적용한 대화형 콘텐츠 등  다양한 형태의 우표 410종이 선보였습니다. 어린이 관람객들의 관심을 끄는 건,  직접 꾸며보는  나만의 우표입니다. [서지우/광명 광덕초등학교 1학년 : ""동물 선택하는 게 재미있었어요. 다 신기했어요.""] 즉석 사진을 찍어  우표 속 인물이 될 수도 있습니다. [최유준/대구 범어초등학교 3학년 : ""AI 우표를 보니 유명한 사람들이 말하는 것이 신기했고, 제 얼굴이 유명한 사람들처럼 달라서 뭔가 이상했습니다.""] 수집이나 편지 등에 활용되며 아날로그 감성을 대표하던 우표가 인공지능 기술과 만나 새롭게 재해석됐습니다. 지난해 발행된 우표 3천만여 장 가운데, 편지 등 실제 우편물에 쓰인 건  1% 미만. 대부분은 기념품이나  수집, 전시용으로 쓰입니다. 최근 5년 사이  일반 우표 발행·판매량은 감소 추세지만, 기념 우표는 성장세가 뚜렷합니다. 올해 발행된 BTS와 뽀로로 기념 우표는 K-컬처의 인기 속에 매진을 기록하기도 했습니다. [김진수/경기도 평택시 : ""(우표를)한 오십 년 모아왔는데 이런 새로운 흐름이 생긴다면 저는 적극적으로 모을 마음의 준비가 됐습니다.""] 국내 첫 우표가 발행된 지 139년. 우편 요금의 증표에서 우리 역사와 문화를 담은  콘텐츠 상품으로 진화하고 있습니다. KBS 뉴스 전현우입니다.촬영기자:문아미/영상편집:김지영/그래픽:김주훈■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : KBS제보 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",https://n.news.naver.com/mnews/article/056/0011572413?sid=105
2023-09-24 22:06:00,"IT, 사회",KBS,센텀 부산 디지털 혁신거점의 모습은?,"[KBS 부산] [앵커] 부산 해운대 센텀시티 일대와 센텀2 지구가  부산의 디지털 산업을 이끌 핵심 전진기지로 조성됩니다. 앞으로 4조 원이 넘는 예산이 투입되는데, 어떤 모습으로 바뀔지, 이상준 기자가 취재했습니다. [리포트]  클라우드 분야에서  아시아 1위 기업인  메가존 클라우드의 부산 사무실입니다. 지난해 10월 개소했으며, 15명의 직원이 근무합니다. 마이크로소프트사의 공식 파트너사인 클루커스도 지난해 6월, 이 건물에 사무실을 열었습니다. 두 회사 모두 클라우드 전문 업체로, 서울에 본사를 둔 국내 기업입니다.  [박도담 클루커스 매니저 : ""센텀에는 다양한 회사들이 많기 때문에 클라우드를 알리기에 좋은 기회가 되고 있습니다.""] 2천 2백여 개의 기업, 만 5천여 명이 근무하는  해운대 센텀시티 일대가  이같은 디지털 기업 등이 모이는  혁신 거점으로 발전합니다. 정부가 선정한 디지털 혁신거점 2곳 중에 포함된 센텀시티 일대에는 1단계로 2025년까지 110억 원을, 2027년까지 354억 원을 투입해 디지털 인프라와 정보보호 인프라 등을 구축됩니다. 또 2026년까지  옛 한진CY 땅에 25층 규모의 유니콘 타워가 들어서 디지털 기업 등이 입주하고, 반송·반여동 일대의 센텀2지구는 개발 시기에 맞춰 대상 사업을 선정할 예정입니다. 이 모든 사업에 들어갈 예산은  국비와 시비 등을 포함해 4조 2천억 원에 달합니다.  [신현수/부산시 인공지능소프트웨어과 : ""(디지털 혁신거점은) 센텀1지구를 중심으로 유니콘 타워, 센텀2지구로 확대 운영돼 명실상부한 동남권 중심허브로 육성해 나갈 계획입니다.""] 부산시 등 관련 기관과 대학, 기업, 연구소 등이 모두 참여하는 부산 디지털 혁신센터도 곧 출범합니다.  [박경은/부산정보산업진흥원 단장 : ""산·학·연 간의 거버넌스 활동이 굉장히 활발해져서 아마 판교 못지 않은 디지털 생태계를 책임지는 중심축이 될 수 있을 것으로 기대하고 있습니다.""] 다만, 수도권과 경쟁해 디지털 유망 기업 본사 등을 유치하고, 센텀2지구 개발이 속도를 내야 하는 점 등은 숙제로 남아 있습니다. KBS 뉴스 이상준입니다. 촬영기자:윤동욱",https://n.news.naver.com/mnews/article/056/0011572407?sid=105
2023-09-24 21:41:00,IT,경향신문,고향 못 가면 ‘무료 영상 통화’…추석 연휴 풍성한 ‘통신 혜택’,"정부가 민간기업들과 함께 추석 연휴를 앞두고 정보통신기술(ICT) 분야 민생안정 지원 대책을 추진한다. 24일 과학기술정보통신부에 따르면 통신 3사는 가입자 및 알뜰폰 이용자들에게 오는 28일부터 10월3일까지 추석 연휴 6일 동안 영상통화를 무료로 지원한다.SK텔레콤은 ‘가족 로밍 프로모션’을 연말까지 운영하며, KT는 다음달 13일까지 ‘로밍 데이터 함께ON’에 데이터 1GB를 추가로 제공한다. LG유플러스도 다음달 말까지 ‘제로 프리미엄’ 로밍 요금제 가입자 상대로 2명이 동시에 가입하면 1명은 반값으로 할인해준다.영화 등 각종 콘텐츠도 무료 또는 할인된 가격에 제공한다. SK텔레콤 ‘에이닷’에서는 영화 6편, LG유플러스 동영상 스트리밍 서비스 ‘U+모바일tv’에서는 영화 14편을 무료로 볼 수 있다. KT는 ‘지니티비’에서 최대 50％ 할인 가격으로 영화 800여편을 제공한다. SK브로드밴드는 인기 드라마 50％ 할인행사를 한다.",https://n.news.naver.com/mnews/article/032/0003251271?sid=105
2023-09-24 20:52:00,IT,헤럴드경제,“업데이트했더니 배터리 80% 증발” 아이폰 ‘배터리 악몽’ 또 터졌다?,"아이폰 iOS 17 업데이트 이후 배터리가 빨리 소모된다는 고객들의 불만이 잇따르고 있다.[헤럴드경제= 박영훈 기자] “아이폰 iOS 17 업데이트, 배터리 광탈합니다?”애플 아이폰이 또 다시 ‘배터리 과소모’ 논란에 휩싸였다. 최근 배포된 iOS 17 버전 업데이트 후 배터리 효율이 크게 떨어졌다는 고객들의 불만이 잇따르고 있다.아이폰의 ‘배터리 논란’은 이번이 처음이 아니다. 아이폰 이용자들 사이에선 iOS 업데이트 후 배터리 수명이 악화됐다는 주장이 계속되고 있다.여기에 최근 출시된 애플 야심작 아이폰15 발열 문제까지 제기됐다. ‘배터리 악몽’이 재현되는 것 아니냐는 비판이 나온다.미국 매체 뉴욕포스트는 iOS 17 업데이트 이후 많은 아이폰 유저들이 배터리가 그전보다 훨씬 빨리 닳고 있는 현상을 겪고 있다고 보도했다. 특히 구형 아이폰 모델일수록 이런 현상이 심한 것으로 드러났다. 심지어 속도가 더 느려지는 현상을 겪은 사용자들도 있다.앞서 해외 IT전문매체들은 iOS 업데이트할 때 마다 “배터리가 평소보다 두 배 이상 빠르게 소모된다” “기본 앱만 사용했는데 두 시간 내 80%의 배터리가 소모됐다”는 고객들의 불만 사례를 전하기도 했다.IT 전문가들은 iOS 17의 최적화가 이뤄지지 않아 배터리가 빨리 소모되는 현상이 보인다고 전하기도 했다.애플 유저들의 충성도가 높은 이유 중 하나는 바로 안정적이고 완벽한 사후지원 때문이다.출시된 지 오래된 구제품을 쓰더라도 iOS 업데이트만 해주면 다양한 신기능들을 사용할 수 있어 많은 유저들의 호평을 받아 왔다. 하지만 배터리 논란은 끊이지 않고 있다.애플 신형 아이폰15 [유튜브 채널 Trakin Tech 캡처]중국 IT 전문 유튜버가 아이폰15 프로맥스 배터리 수명과 발열 테스트를 한 결과, 고사양 게임을 할 경우 발열 수준이 심각한 것으로 나타났다. [사진, 유튜버 기카완]아이폰 배터리 문제는 새롭게 출시한 아이폰15에서도 나타나고 있다. 전문가들 사이에는 아이폰15의 배터리 성능과 발열 수준이 전작에 비해 떨어진다는 지적이 나오고 있다.해외 IT전문 매체들에 따르면 중국 IT전문 유튜버 기카완(Geekerwan)의 아이폰15의 배터리 수명과 발열 테스트 결과 고사양의 게임을 한지 30분 뒤, 아이폰15 프로의 표면 온도가 최고 48.1도까지 올라갔다는 전했다. 전작인 아이폰14와 비교했을때 2도 가량 높게 측정됐다.이같은 발열 문제를 놓고 업계에서는 애플이 냉각 시스템을 충분히 확보하지 못했거나 반도체 칩의 배치 등 설계 문제를 의심하고 있다.무엇보다 스마트폰 발열은 기기 화재나 오작동뿐 아니라 스마트폰의 성능 저하로 이어질 수 있어 큰 문제다.한편 아이폰15 시리즈는 10월 13일 국내에 출시한다. 1차 출시국보다 3주가 늦은 셈이다. 특히 미국·일본에 비해 한국 출시 가격이 10만원 이상 비싸, “한국 호구냐”는 비판이 나오고 있다.",https://n.news.naver.com/mnews/article/016/0002202402?sid=105
2023-09-24 20:42:00,IT,경향신문,‘핵심 광물’의 중국 의존도 탈피…‘중앙아시아 5개국 자원 DB’에 거는 기대[지구 미래 찾는 기술의 여정],"광물자원 가운데는 사람이 건강하게 살기 위해서 꼭 필요한 ‘비타민’에 비유할 만한 것이 있다. 반도체, 휴대전화, 전기차 등에 들어가는 ‘희유금속(rare metal)’이다. 한국은 일찍이 광물 35종을 희유금속으로 지정하고 그중 10대 금속을 비축 광산물로 정해 관리하고 있다. 최근 선진국에서는 희유금속보다 좀 더 범위를 넓힌 ‘핵심 광물(critical minerals)’이라는 표현을 쓰는데, 한국에서도 이 용어가 많이 사용되고 있다.최근 ‘K반도체’에 이은 ‘K배터리’로 한국 기술개발 역량이 전 세계적으로 높이 평가되고 있다. 하지만 자세히 살펴보면 미래 먹거리를 만들 산업 원료 공급망의 대부분을 중국 등 일부 국가에 의존하고 있다. 얼마 전 불거진 ‘제2의 요소수’ ‘제2의 수출규제’ 사태를 또 겪지 않으려면 중국 등 특정 국가에 대한 수입 의존도가 높은 주요 핵심 광물의 공급망 다변화가 필요한 시점이다.한국 주력 산업에 필수적인 핵심 광물 중 대외 의존도가 가장 높은 것은 무엇일까. ‘산화텅스텐’이다. 무려 94.7%를 중국에서 수입한다. 산화텅스텐은 반도체 생산에 핵심적인 원료이며, 대체재를 구할 수 없는 소재로 알려져 있다. 이 때문에 전략적인 광물자원 확보 파트너로 최근 우즈베키스탄이 주목받고 있다.우즈벡은 텅스텐 매장량 세계 6위 국가이자 몰리브덴 등 핵심 광물이 풍부한 자원 부국이다. 특히 우즈벡은 구소련 시대부터 중앙아시아 모든 지역의 광상 조사 내용과 지질도면 등 중요 지질자원 정보를 보유·관리하는 허브 역할을 하고 있다. 그래서 많은 나라에서 중앙아시아 광물자원 거점 마련을 위해 우즈벡에 오랫동안 공을 들여왔다.우즈벡은 1890년대부터 현재까지 약 15만권의 보고서와 70만장 도면이 포함된 중요 지질자원 정보를 보유하고 있다. 구소련 시대부터 조사·발간된 지질자원 보고서와 도면이 있음에도 낙후된 시스템으로 금과 희유금속의 매장량 등 중요 자료가 훼손되고 있다.한국지질자원연구원은 2009년부터 우즈벡 지질자원 전문가 대상 초청 교육과 기술개발을 적극적으로 지원하며 우호적인 협력 관계를 유지하고 있다. 우즈벡 대통령 직속기관인 국가지질자원위원회는 2019년 중앙아시아 5개국의 지질자원 디지털 자료 데이터베이스(DB) 및 기술 교류의 전략적 파트너로 한국지질자원연구원을 선택했다. 앞으로 디지털 작업을 통한 체계적인 DB 구축을 위해 우즈벡과 지속적으로 협력할 것이다.‘그린 인플레이션’과 미·중 갈등 악화로 핵심 광물 가격은 고공행진을 거듭하고 있다. 중앙아시아 광물자원 DB라는 지질자원과 연관된 ‘틈새 기술’을 매개로 다가오는 글로벌 에너지 ‘위기’를 ‘기회’로 바꿀 수 있을 것으로 기대한다.황세호 한국지질자원연구원 부원장",https://n.news.naver.com/mnews/article/032/0003251237?sid=105
2023-09-24 20:42:00,IT,경향신문,두 바퀴로 움직이지만 인간을 닮은 보안 로봇 ‘어센토 가드’,"건물 외부 순찰 침입·화재 감지보행 속도인 시속 4.5km로 이동계단·산비탈 등에서도 자율주행사람 눈 연상 디자인 친밀도 높여보안 로봇 ‘어센토 가드’가 도심 평지와 계단을 주행하고 있다. 바퀴 2개를 굴리며 주행하는 이 로봇에는 자율 운행 기능이 있다. 어센토 제공바퀴  두 개를 굴리면서 건물 외부를 자율적으로 순찰하는 보안로봇이 등장했다. 이 로봇은 적외선 카메라를 이용해 침입자나 화재를 인식할 수 있는 데다 여느 로봇과는 달리 본체 정면에 인간의 동그란 눈을 닮은 화면을 띄울 수 있어 사용자와 친밀도를 높이는 기능까지 갖췄다.스위스 스타트업인 어센토는 최근 ‘어센토 가드’라는 새로운 보안로봇을 개발했다고 밝혔다. 어센토 가드는 건물 외부를 순찰하도록 고안됐다. 적외선 카메라를 사용해 외부 침입자나 화재를 감시하고, 주차장에 서 있는 차의 번호를 식별한다. 특이사항이 발생하면 신속히 인간 보안요원들에게 알린다.경비 능력도 뛰어나지만 어센토 가드의 또 다른 특징은 귀여운 외모다. 본체 정면에 달린 화면에서 사람 눈의 특징이 나타난다. 작동 중에는 동그란 눈이 보이고, 충전 중에는 자는 듯 눈 감은 모습을 연출한다.어센토 가드는 사람이 걷는 것과 비슷한 속도인 시속 4.5㎞로 이동한다. 로봇 스스로 정해진 시간과 코스를 바탕으로 자율 운행하는 일도 가능하다. 완전 충전한 내장 배터리는 4시간 작동한다.어센토 가드는 다리 대신에 바퀴 2개를 갖췄다. 이 바퀴로 절묘하게 균형을 잡으며 어떤 지형에서든 원활히 움직인다. 제조사가 인터넷에 공개한 동영상을 보면 어센토 가드는 포장도로를 주행하는 것은 물론 계단에서도 흔들림 없이 내려온다. 돌이 여기저기 박힌 산비탈이나 풀이 무성한 언덕도 문제없이 달린다. 본체에는 방수 처리가 돼 있어 궂은 날씨에도 얼마든지 사용 가능하다.어센토는 “이 로봇은 한밤중이나 악천후에도 작동할 수 있어 시설물 보안 수준을 높일 방안이 될 것으로 보인다”고 전망했다.",https://n.news.naver.com/mnews/article/032/0003251236?sid=105
2023-09-24 19:57:00,"경제, IT",매일경제,"“다 비켜, 룰은 우리가 정한다”…중국도 유럽도 긴장했다는데","[사진 출처 = 픽사베이]지난 13일 미국의 대표적인 빅테크 최고경영자(CEO)들이 이례적으로 미국 의회 회의 석상에 모였다.척 슈머 민주당 상원 원내대표가 인공지능(AI) 규제를 논의하기 위해 의회에서 비공개로 개최한 AI 인사이트 포럼에 참석하기 위해서였다. 회의에는 오픈AI, 엔비디아, 구글, 테슬라, 메타, 마이크로소프트(MS) 등 내로라하는 CEO들이 대거 참석했다. 일론 머스크 테슬라 CEO는 의회를 나오면서 취재진의 질문을 받고 AI 규제를 위한 연방 정부 차원의 “AI 담당 부서가 있어야 한다”고 주장했다.이날 회의에 등장한 CEO들이 평소와 달리 엄숙한 정장을 입고, AI 규제에 대한 언급이 나왔다는 점에서 미국에서도 빅테크 규제가 본격화하는 것이 아니냐는 일부 관측도 있었지만 이번 국무부 초청 간담회에선 그런 분위기가 아니라는 것을 확인할 수 있었다. 오히려 AI 규제 범위를 명확히 하는 ‘정제된 운동장’을 마련해 업계 불확실성을 줄여 AI 산업을 선도하겠다는 국가 전략이 추진되고 있다는 점을 엿볼 수 있었다.미국 하원 과학·우주·기술 위원회 간사를 맡고 있는 조 로프그렌 의원(민주당)은 “AI로 인해 엄청나게 긍정적인 변화의 문턱에 서 있고, 이러한 신기술이 미국을 위해 적절히 대처되고 있는지 확인하는 것이 우리의 일”이라고 강조했다.이는 국제적으로 확산되고 있는 AI 규제 필요성을 자국 중심으로 주도하겠다는 의미로 해석된다.가장 발빠르게 AI 규제를 도입하려는 곳은 유럽연합(EU)이다. 유럽 의회는 지난 6월 세계 최초의 AI 규제법인 지난 6월 ‘AI법(AI Act)’를 본회의에서 통과시켰다. 유럽 의회와 집행위원회·이사회 간 3자 협상이 타결될 경우, 2026년께 EU내에 해당 규제가 적용될 전망이다. AI 개발사가 상업적 목적으로 AI 상품을 출시하기 전에 EU의 규제 기구 측에 AI 시스템을 제출하도록 했다. 기업의 AI 수익 활동을 EU의 통제 하에 두겠다는 의미로 풀이된다. 특히 유럽은 지난 5월 발표된 수정안에서 챗GPT와 같은 생성형AI 모델에 대한 규제가 추가됐다.미국은 이같은 EU의 AI 규제 프레임이 추진되면 다른 국가들이 이를 벤치마크로 활용할 수 있다는 점을 경계하려는 움직임이다.사실상 EU는 글로벌 경쟁력을 갖춘 빅테크가 없기 때문에 ‘규제 강화’를 통해 미국 빅테크 영향력을 줄이려고 하고 있는데 이를 지켜보고 있지 않을 것이라는 태세다.더구나 중국이 뛰어난 AI 기술 확보를 최우선의 국익 수단으로 판단하며 정부 차원의 전폭적인 지원을 아끼지 않고 있다는 점도 미국으로선 부담이 아닐 수 없다. 텐센트, 화웨이, 바이트댄스, 징둥 등 중국 빅테크 기업은 AI 시장에서의 ‘진격’을 선언하며 기술 개발에 나서고 있다. 이러한 중국의 움직임도 AI를 바라보는 미국 정계의 시각이 독과점에 대한 피해 우려 등에 따른 ‘고강도 규제’에서 ‘기술과 혁신 진흥’으로 무게추가 옮겨가고 있는 중요한 요인으로 파악된다.무엇보다 이번 간담회에서 확인한 것은 AI를 대하는 미국 정계의 입장은 초당적이라는 점이다.테드 리우 하원의원(민주당)은 “AI는 지각이 있는 존재가 아니라 도구일 뿐이며 도구에는 정파성이 없다”며 “기술은 초당파적인 지지를 받는 분야”라고 말했다.다만 어떻게 AI 부작용을 차단할 수 있을 것이냐는 앞으로도 계속 논란이 될 수 있다.이와관련 백악관은 자율 규제를 추가하는 방식으로 방향을 전환했다. 특히 올해 5월 바이든 정부는 ‘바이든-해리스 행정부의 새로운 행동’을 발표했다. 새로운 AI 연구기관을 설립하고, 1억4000만달러를 투자해 윤리적이고 책임감 있는 AI 발전을 추구하며 엔스로픽, 구글, 허깅페이스, MS, 오픈AI 등이 참여시켜 AI 시스템 공개 평가를 받도록 했다.아울러 미국 정부 주도로 일반 국민의 의견을 수렴하고 이를 정책에 반영하겠다고 발표했다. 이 가운데 가장 많이 신경을 쓰는 것은 AI 기업과 국민간 의견 수렴이다. 백악관은 “수천 명의 커뮤니티 파트너와 AI 전문가가 모델을 철저히 평가해야 한다”면서 “이를 통해 연구자와 대중에게 이러한 모델의 영향에 대한 중요한 정보를 제공하고, AI 기업이 해당 모델에서 발견된 문제를 해결하기 위해 지원하겠다”고 말했다.",https://n.news.naver.com/mnews/article/009/0005191269?sid=105
